nar_adc_id	canonical_name	phase_bucket	drug_status	brand_name	synonyms	development_codes	antigen_name	payload_moa_target	antibody_name	payload_name	linker_name	indications	companies	reference_count	reference_dois	nct_ids
DRG0GYCJG	XB-002	Phase1	Phase 1 (Terminated)		ICON-2; XB 002; XB- 002; XB-002; XB002; XB002 Tissue Factor ADC		Tissue factor (F3)	Microtubule (MT)	Samatatug	ZD02044	Mc-PEG3-Val-Cit	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.3	Iconic Therapeutics, Inc; Exelixis, Inc; Exelis, Inc	0		
DRG0GYGUI	FDA022-BB05	Phase1	Phase 1						Undisclosed	Undisclosed	Undisclosed			0		
DRG0GYMEE	ESG406	Phase1	Phase 1						Anti-TROP2 mAb	Exatecan	A cleavable linker	Unspecific solid tumor		0		NCT06979674
DRG0GYNBS	XMT-1522	Phase1	Phase 1 (Terminated)		TAK 522; TAK-522; TAK522; XMT 1522; XMT-1522; XMT-1522, TAK-522; XMT1522		Receptor tyrosine-protein kinase erbB-2 (HER2)	Microtubule (MT)	XMT-1519	Auristatin F hydroxypropylamide (AF-HPA)	Fleximer polymer	Breast cancer; Phase 1 Clinical Trial Gastric cancer; Phase 1 Clinical Trial Lung cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio 12 3D	Mersana Therapeutics, Inc; Adimab LLC; Takeda Pharmaceutical Co., Ltd	1	10.1158/1535-7163.MCT-19-0207.	
DRG0GZGHN	SAR-566658	Phase2	Phase 2 (Terminated)		Anti-CA6-DM4-immunoconjugate-SAR566658; Anti-CA6-antibody-drug-conjugate; HuDS6-DM4; SAR 566658; SAR-566658; SAR56 6658; SAR566658; huDS6-DM4		Carbonic anhydrase 6 (CA6)	Microtubule (MT)	Anti-CA6 mAb huDS6	Mertansine DM4	N-succinimidyl 4-(2-pyridyldithio) butanoate (SPDB)	Breast cancer; Phase 2 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 1 3D	Sanofi; ImmunoGen, Inc	2		NCT01156870; NCT02984683
DRG0GZPSF	JY-023	Investigative	Investigative		JY 023; JY023		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Colorectal cancer Clinical candidate Lung cancer Clinical candidate	Beijing Eastern Biotech Co., Ltd	0		
DRG0HBGGX	LNL-008	Investigative	Investigative		LNL008; LNL 008		Claudin-18.2 (CLDN18.2)		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate	L&L Biopharma Co., LTD	0		
DRG0HCDAC	ATRC-301	Investigative	Investigative		ATRC301; ATRC 301		Ephrin type-A receptor 2 (EPHA2)		Undisclosed	Undisclosed	Undisclosed	Breast cancer Clinical candidate Colorectal cancer Clinical candidate Extremity melanoma Clinical candidate Non-small ce	Atreca, Inc	0		
DRG0HDUGB	BAT-8010	Phase1	Phase 1						Undisclosed	Exatecan		Solid tumor		0		
DRG0HEAGN	DB-1202	Phase2	Phase 1/2		DB 1202; DB-1202; DB1202		Undisclosed		Undisclosed	Undisclosed	Undisclosed Conjugate Type Undisclosed General Information of The Activity Data 	Solid tumor; Phase 2 Clinical Trial Drug-to-Antibody Ratio Undisclosed	Duality Biologics	1		NCT05785728
DRG0HEJWD	SC-011	Phase1	Phase 1						SC17	Valeric-acid-calicheamicin	Mc-PEG8-acid-labile linker	Lung cancer		0		
DRG0HGHXE	MHB088C	Phase2	Phase 2						Undisclosed	DNA topoisomerase I inhibitor		Solid tumor		0		
DRG0HHXRF	AR081	Investigative	Investigative		AR 081; AR081		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate	YBiologics, Inc	0		
DRG0HKEBI	ANT-045	Investigative	Investigative		ANT045; ANT 045		Insulin-like growth factor 1 receptor (IGF1R)		Undisclosed	Undisclosed	Undisclosed	Gastric cancer Clinical candidate	Antikor Biopharma Ltd	0		
DRG0HMQMZ	KTN0182A	Investigative	Investigative		KTN-0182A; KTN 0182A		Mast/stem cell growth factor receptor Kit (KIT)	Human Deoxyribonucleic acid (hDNA)	Undisclosed	PBD dimer	Undisclosed	Solid tumors Clinical candidate 3D	Kolltan Pharmaceuticals, Inc; Celldex Therapeutics, Inc	0		
DRG0HOBUN	OMTX-705	Phase1	Phase 1		MTX5-CYT; OMTX 705; OMTX-705; OMTX705		Prolyl endopeptidase FAP (FAP)	Microtubule (MT)	OMTX005	TAM470	Mc-Val-Cit-PABC-PEG3	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.5 3D	Oncomatryx Biopharma SL; Inxmed (Nanjing) Co., Ltd; InxMed (Hong Kong) Limited	1		
DRG0HPEHO	BL-B029A1	Investigative	Investigative		BL-B029; BLB029; BL B029		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate	Systimmune, Inc; Sichuan Baili Pharmaceutical Co., Ltd	0		
DRG0HPUIL	Farletuzumab ecteribulin	Phase2	Phase 1/2		ER-001159569; Eribulin/farletuzumab antibody drug conjugate; Farletuzumab ecteribulin; Farletuzumab/eribulin ADC; MORAb 202; MORAb-202; VCP-Eribulin		Folate receptor alpha (FOLR1)	Microtubule (MT)	Farletuzumab	Eribulin	Mal-PEG2Val-Cit-PAB-OH	Breast cancer; Phase 2 Clinical Trial Fallopian tube cancer; Phase 2 Clinical Trial Ovarian cancer; Phase 2 Clinical Trial Peritoneal cancer; Phase 2 Clinical Trial Solid tumor; Phase 2 Clinical Trial Endometrial cancer; Phase 1 Clinical Trial Lung cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio 4 3D	Eisai Co., Ltd; Bristol Myers Squibb Co	2	10.1158/1535-7163.MCT-17-1215.	
DRG0HQVXQ	TORL-3-600	Phase1	Phase 1		TORL-3-600; TORL-3-600 ADC; TORL-3-600-ADC		Cadherin-17 (CDH17)	Microtubule (MT)	Undisclosed	Monomethyl auristatin E	Undisclosed Conjugate Type Undisclosed	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	TORL Biotherapeutics LLC; Translational Research In Oncology US, Inc	0		
DRG0HTJXN	TQB2103	Phase1	Phase 1		TQB 2103; TQB-2103; TQB2103		Claudin-18.2 (CLDN18.2)	DNA topoisomerase 1 (TOP1)	A humanized anti-CLDN18.2 IgG1 monoclonal antibody	2-DDDX-d	Mc-Gly-Gly-Phe-Gly	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 8	Nanjing Shunxin Pharmaceutical Co., Ltd; Sino Biopharmaceutical Ltd	0		
DRG0HVSBG	BDC-1001	Phase2	Phase 2 (Terminated)		BDC 1001; BDC-1001; Boltbody ISAC BDC-1001		Receptor tyrosine-protein kinase erbB-2 (HER2)	Toll-like receptor 7 (TLR7); Toll-like receptor 8 (TLR8)	Trastuzumab	TORL7/8 agonist T785	BG based linker	Breast cancer; Phase 2 Clinical Trial Colorectal cancer; Phase 2 Clinical Trial Endometrial cancer; Phase 2 Clinical Trial Oesophageal cancer; Phase 2 Clinical Trial Solid tumor; Phase 2 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	Bolt Biotherapeutics, Inc	1		NCT04278144
DRG0HWAWD	Zapadcine-1	Investigative	Investigative		Zapadcine 1; DR5 mAb-Py-VC-PAB-MMAD		Tumor necrosis factor receptor superfamily member 10B (TNFRSF10B)	Microtubule (MT)	Zaptuzumab	Monomethyl auristatin D	PY-VC-PABC	Acute lymphocytic leukemia; Investigative Lung cancer; Investigative Mature T-cell lymphoma; Investigative Drug-to-Antibody Ratio 4		1	10.7150/thno.33598.	
DRG0HWLAE	T320-ADC	Phase1	Phase 1						Undisclosed	Undisclosed	Undisclosed			0		
DRG0HXUZU	MBK-101	Investigative	Investigative		MBK 101; MBK101		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Acute myeloid leukaemia Clinical candidate	Mablink Bioscience	0		
DRG0HYRZD	BAY-1862864	Phase1	Phase 1 (Terminated)		BAY 1862864; BAY-1862864; BAY1862864; CD22-Thorium-conjugate; Epratuzumab Th-227 conjugate; epratuzumab-227Th-conjugate; epratuzumab-Th227-conjugate		B-cell receptor CD22 (CD22)	Unclear	Epratuzumab	227Th	Undisclosed Conjugate Type Undisclosed	Unspecific non-hodgkin lymphoma; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed	Bayer AG	0		
DRG0IBMMG	IOG-101	Investigative	Investigative		Fusion proteins (ioGenetics); IOG101; IOG 101		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Influenza; Investigative Staphylococcal infection (; Investigative)	Iogenetics LLC	0		
DRG0ICCWP	Elatatug vedotin	Phase1	Phase 1						Anti-CLDN18.2 antibody	MMAE	A cleavable linker	Gastroesophageal junction adenocarcinoma		0		NCT05156866
DRG0ICRYT	Oportuzumab monatox	Phase3	Phase 3		4D5MOCB-ETA; Anti-ECAM exotoxin A fusion protein; B-4845; Oportuzumab monatox; Proxinium; VB-4847; VB-845; VB4-845; Vicineum; Vicinium; Vysyneum; oportuzumab monatox-qqrs		Epithelial cell adhesion molecule (EPCAM)	Eukaryotic elongation factor 2 (EEF2)	Oportuzumab	Pseudomonas exotoxin ETA-252-608	Undisclosed Conjugate Type Undisclosed Combination Type monatox Special Approval	Urothelial cancer; Phase 3 Clinical Trial Drug-to-Antibody Ratio Undisclosed	Sesen Bio; Qilu Pharmaceutical Co., Ltd; Baxter Oncology GmbH; Viventia Bio, Inc	3		NCT00462488
DRG0ICSRW	CHB-111	Phase1	Phase 1						Undisclosed	Undisclosed	Undisclosed			0		
DRG0IDOUS	MK-6204	Phase1	Phase 1						Undisclosed	Undisclosed	Undisclosed	Oesophageal cancer		0		NCT06726369
DRG0IDRYV	LCB-67	Investigative	Investigative		Anti-DLK1 ADC; MMAE-anti-DLK1; PYX 202; DLK1-MMAE; LCB67; LCB 67; PAY-202; PAY202		Protein delta homolog 1 (DLK1)	Microtubule (MT)	Undisclosed	Monomethyl auristatin E	Undisclosed	Acute myeloid leukaemia Clinical candidate Hepatocellular carcinoma Clinical candidate Myelodysplastic syndrome Clinical	LegoChem Biosciences, Inc	0		
DRG0IITIR	EX107	Investigative	Investigative		EX 107; EX-107		T-cell surface glycoprotein CD3 delta chain (CD3D); Programmed cell death protein 1 (PDCD1)		Undisclosed	Undisclosed	Undisclosed	Ovarian cancer Clinical candidate	Excelmab Inc	0		
DRG0IJSIT	MG2106E	Investigative	Investigative		MG2106E (Shanghai MabGen Biotech); MG-2106E; MG 2106E		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Autoimmune disorder Clinical candidate Solid tumors Clinical candidate	Shanghai MabGen Biotech Ltd; Shanghai Meijing Science & Technology Co. Ltd	0		
DRG0IMAKZ	Mecbotamab vedotin	Phase2	Phase 1/2		BA 3011; BA3011; CAB-AXL-ADC; CAB-Axl antibody-drug conjugates; HTBA-3011; HTBA3011; Mecbotamab Vedotin; Mecbotamab vedotin		Tyrosine-protein kinase receptor UFO (AXL)	Microtubule (MT)	Mecbotamab	Monomethyl auristatin E	Mc-Val-Cit-PABC	Lung cancer; Phase 2 Clinical Trial Solid tumor; Phase 2 Clinical Trial Drug-to-Antibody Ratio 4 3D	BioAtla, Inc	2		NCT03425279; NCT04681131
DRG0INCQV	DXC-003	Investigative	Investigative		DXC003; DXC 003		Tumor-associated calcium signal transducer 2 (TROP2)		Undisclosed	Undisclosed	Undisclosed	Small cell lung cancer Clinical candidate Triple negative breast cancer Clinical candidate	Hangzhou DAC Biotech Co., Ltd	0		
DRG0INYKO	BCMA-077	Investigative	Investigative		BCMA 077; BCMA077		Tumor necrosis factor receptor superfamily member 17 (TNFRSF17)	Microtubule (MT)	Undisclosed	Duostatin 5.2	Proprietary Concortis linker	Multiple myeloma Clinical candidate 3D	Sorrento Therapeutics, Inc	0		
DRG0IOMGE	JNJ-89862175	Phase1	Phase 1						Anti-ENPP3 antibody	Undisclosed	Undisclosed	Lung cancer		0		NCT07223125
DRG0IOSTB	PLB-002	Phase1	Phase 1						PLB-002-ab7	Eribulin	A cleavable linker	Lung cancer		0		NCT07304128
DRG0IPCHO	TAK-164	Phase1	Phase 1 (Terminated)		TAK 164; TAK-164; TAK164		Guanylyl cyclase C (GUCY2C)	Human Deoxyribonucleic acid (hDNA)	5F9	DGN549	Mal-adipamide-Ala-Ala	Oesophageal cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed	ImmunoGen, Inc; Takeda Pharmaceutical Co., Ltd	1		NCT03449030
DRG0IQKOR	CON-4619	Phase1	Phase 1 (Terminated)		Aurixim; CON-4619; Rituximab conjugate (BioIntegrator LLC)		B-lymphocyte antigen CD20 (MS4A1)		Rituximab	Undisclosed	Undisclosed Conjugate Type Undisclosed General Information of The Activity Data 	Follicular lymphoma; Phase 1 Clinical Trial Unspecific non-hodgkin lymphoma; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed	BioIntegrator LLC	1		NCT03057418
DRG0IQNVH	PRO-1102	Investigative	Investigative		PRO 1102; PRO1102		Receptor tyrosine-protein kinase erbB-2 (HER2)	DNA topoisomerase 1 (TOP1)	Trastuzumab	Exatecan	Cleavable hydrophilic linker Info	Solid tumors Clinical candidate 3D	ProfoundBio (Suzhou) Co., Ltd	0		
DRG0IRZIB	Glembatumumab vedotin	Phase2	Phase 2						CR-011	Monomethyl auristatin E	Mc-Val-Cit-PABC	Breast cancer		0		
DRG0IRZPG	AB-160	Phase1	Phase 1		AB 160; AB-160; AB160; nab-paclitaxel/bevacizumab complex		Vascular endothelial growth factor A (VEGFA)	Microtubule (MT)	Bevacizumab	Paclitaxel	Undisclosed Conjugate Type Undisclosed	Cervical cancer; Phase 1 Clinical Trial Endometrial cancer; Phase 1 Clinical Trial Fallopian tube cancer; Phase 1 Clinical Trial Melanoma; Phase 1 Clinical Trial Ovarian cancer; Phase 1 Clinical Trial Peritoneal cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	Mayo Clinic	0		
DRG0ISFPP	Anti-B7-2-gelonin immunotoxin	Investigative	Investigative		AntiB72 monoclonal antibodygelonin immunotoxin conjugate; B72 targeted immunotoxin		T-lymphocyte activation antigen CD86 (CD86)	Ribosome (RB)	Anti-CD86 mAb 1G10	Gelonin	Undisclosed	Burkitt lymphoma; Investigative Hodgkin lymphoma (; Investigative)	Bologna University	0		
DRG0ITBMZ	HD-101	Investigative	Investigative		Amanitin-CD269 antibody drug conjugate; CD269-ATAC; anti-CD269-30.1699; anti-CD269-30.2115; anti-CD269-Thiomab-30.1699; anti-CD269-Thiomab-30.2115		Tumor necrosis factor receptor superfamily member 17 (TNFRSF17)		Undisclosed	Undisclosed	Undisclosed TTD ID D03MSN	Multiple myeloma Clinical candidate Drug-to-Antibody Ratio 2	Heidelberg Pharma AG	0		
DRG0IUXVP	ABBV-324	Phase1	Phase 1						Undisclosed	Undisclosed	Undisclosed	Liver cancer		0		NCT06858813
DRG0IVDIV	TQB2102	Phase2	Phase 2		TQB 2102; TQB-2102; TQB2102		Receptor tyrosine-protein kinase erbB-2 (HER2 ECD2); Receptor tyrosine-protein kinase erbB-2 (HER2 ECD4)	DNA topoisomerase 1 (TOP1)	Undisclosed	2-DDDX-d	Mc-Gly-Gly-Phe-Gly	Breast cancer; Phase 3 Clinical Trial Biliary tract cancer; Phase 2 Clinical Trial Lung cancer; Phase 2 Clinical Trial Solid tumor; Phase 2 Clinical Trial Drug-to-Antibody Ratio 5.8	Nanjing Shunxin Pharmaceutical Co., Ltd; Sino Biopharmaceutical Ltd	1		NCT05735496
DRG0IWQWQ	DXC-014	Phase1	Phase 1						Anti-B7H3/PSMA bsAb	TOP1 inhibitor	Undisclosed	Lung cancer		0		NCT07177937
DRG0IYBRT	ADCT-602	Phase2	Phase 1/2		ADCT-602; Epratuzumab-cys-SG3249; Epratuzumab-cys-tesirine; hLL2-cys-PBD; hLL2-cys-SG3249		B-cell receptor CD22 (CD22)	Human Deoxyribonucleic acid (hDNA)	Epratuzumab	SG3199	Mal-PEG8-Val-Ala-PABC	Acute lymphoblastic leukemia; Phase 2 Clinical Trial Drug-to-Antibody Ratio 1.7 3D	ADC Therapeutics SA	3		NCT03698552
DRG0JBKMD	Labetuzumab govitecan	Phase2	Phase 2 (Terminated)		Anti-CEA monoclonal antibody; Anti-carcinoembryonic antigen monoclonal antibody; HMN-14-SN38; IMMU-130; IMMU-130, hMN14-SN38; Labetuzumab govitecan; Labetuzumab-SN38 conjugate; SN38-labetuzumab conjugate; anti-CEACAM5-SN38; hMN-14-SN38 antibody-drug conjugate		Carcinoembryonic antigen-related cell adhesion molecule 5 (CEACAM5)	DNA topoisomerase 1 (TOP1)	Labetuzumab	Active metabolite of irinotecan SN38	CL2A	Colorectal cancer; Phase 2 Clinical Trial Drug-to-Antibody Ratio 7.6 3D	Immunomedics, Inc; IBC Pharmaceuticals, Inc; Gilead Sciences, Inc	2		NCT01605318
DRG0JCGJZ	ABBV-291	Phase1	Phase 1						Anti-CD79b antibody	TOP1 inhibitor	Undisclosed	Unspecific non-hodgkin lymphoma		0		NCT06667687
DRG0JCWGF	TRPH-222	Phase1	Phase 1 (Terminated)		CAT-02-106; CD22 ADC; CD22 antibody drug conjugate; CD22-4AP; TRPH 222; TRPH-222; TRPH222		B-cell receptor CD22 (CD22)	Microtubule (MT)	Undisclosed	Maytansinoid derivative of TRPH-222	HIPS-4AP	Unspecific non-hodgkin lymphoma; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2	Catalent, Inc; Triphase Accelerator Corp; Triphase Research and Development III Corp	3	10.1158/1078-0432.CCR-20-4513.	NCT03682796
DRG0JDDLS	GF-2014	Investigative	Investigative		GF 2014; GF2014		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate	GenFleet Therapeutics (Shanghai) Co., Ltd	0		
DRG0JEJPW	YH-013	Investigative	Investigative		YH 013; YH013		Epidermal growth factor receptor (EGFR); Hepatocyte growth factor receptor (MET)	Microtubule (MT)	Undisclosed	Monomethyl auristatin E	Mc-Val-Cit-PABC	Non-small cell lung cancer Clinical candidate Pancreatic cancer Clinical candidate Drug-to-Antibody Ratio 4 3D	Biocytogen Pharmaceuticals (Beijing) Co., Ltd; Eucure (Beijing) Biopharma Co., Ltd	0		
DRG0JEUPG	Sacituzumab-Deruxtecan	Investigative	Investigative		WO2022068878A1		Tumor-associated calcium signal transducer 2 (TROP2)	DNA topoisomerase 1 (TOP1)	Sacituzumab	DX-8951 derivative (DXd)	Mc-Gly-Gly-Phe-Gly Info	Colon cancer; Investigative Hypopharyngeal squamous cell carcinoma; Investigative Ovarian cancer; Investigative Drug-to-Antibody Ratio 4.18 3D	Duality Biologics	0		
DRG0JEVIM	Disitamab vedotin	Approved	Approved (FDA): Jun, 2021	Aidixi	RC48; RC 48-ADC; RC-48; RC-48-ADC; RC48-ADC; Aidixi; Recombinant Humanized anti-HER2 Monoclonal Antibody-MMAE Conjugate		Receptor tyrosine-protein kinase erbB-2 (HER2)	Microtubule (MT)	Hertuzumab	Monomethyl auristatin E	Mc-Val-Cit-PABC	Breast cancer; Approved Approval Document Gastric cancer; Approved Approval Document Urothelial cancer; Approved Approval Document Oesophageal cancer; Phase 3 Clinical Trial Biliary tract cancer; Phase 2 Clinical Trial Cervical cancer; Phase 2 Clinical Trial Endometrial cancer; Phase 2 Clinical Trial Fallopian tube cancer; Phase 2 Clinical Trial Head and neck cancer; Phase 2 Clinical Trial Lung cancer; Phase 2 Clinical Trial Melanoma; Phase 2 Clinical Trial Ovarian cancer; Phase 2 Clinical Trial Peritoneal cancer; Phase 2 Clinical Trial Prostate cancer; Phase 2 Clinical Trial Vaginal cancer; Phase 2 Clinical Trial Vulvar cancer; Phase 2 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 4 3D	RemeGen Co., Ltd; RemeGen Co., Ltd; Merck Sharp & Dohme LLC	7		NCT02881190; NCT03556345; NCT04264936; NCT04714190
DRG0JFYCH	KK2845	Phase1	Phase 1						TIM-3Ab	SG3199 (SC-DR002)	Mal-PEG8-Val-Ala-PABC	Acute myeloid leukaemia		0		NCT06812104
DRG0JGJDN	HBM9033	Phase1	Phase 1		HBM 9033; HBM-9033; HBM9033; PF-08052666; PF 08052666; PF08052666; SGN-MesoC2		Mesothelin (MSLN)		Undisclosed	Undisclosed	Undisclosed Conjugate Type Undisclosed	Colorectal cancer; Phase 1 Clinical Trial Endometrial cancer; Phase 1 Clinical Trial Lung cancer; Phase 1 Clinical Trial Melanoma; Phase 1 Clinical Trial Ovarian cancer; Phase 1 Clinical Trial Pancreatic cancer; Phase 1 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed	Harbour Biomed Therapeutics Ltd	0		
DRG0JJEUT	Aprutumab ixadotin	Phase1	Phase 1 (Terminated)		Aprutumab ixadotin; BAY 1187982; BAY-1187982; BAY1187982; FGFR2-ADC		Fibroblast growth factor receptor 2 (FGFR2)	Microtubule (MT)	Aprutumab	Auristatin W	Caproyl acid	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 4	Bayer AG	1		NCT02368951
DRG0JJONS	HS-20124	Phase1	Phase 1						Anti-CDH6 antibody	SHR9265	Undisclosed	Unspecific solid tumor		0		NCT06763159
DRG0JKQOU	HB0052	Investigative	Investigative		HB 0052; HB-0052		5'-nucleotidase (NT5E)		Undisclosed	Undisclosed	Undisclosed	Breast cancer Clinical candidate Pancreatic cancer Clinical candidate	Huabo Biopharm Co., Ltd	0		
DRG0JLDZY	SIBP-A13	Investigative	Investigative		SIBP A13; SIBPA13		Receptor tyrosine-protein kinase erbB-3 (HER3)		Anti-HER3 mAb	Undisclosed	Undisclosed	Solid tumors IND	Sino Biopharmaceutical Ltd	0		
DRG0JLIZJ	CD38 ADC	Phase1	Phase 1						Anti-CD38 mAb	Undisclosed	Undisclosed			0		
DRG0JMVCQ	ONC-784	Investigative	Investigative		ONC 784; ONC784		Signal transducer CD24 (CD24)		Undisclosed	Undisclosed	Undisclosed	Breast cancer Clinical candidate Cervical cancer Clinical candidate Hepatocellular carcinoma Clinical candidate Lung can	Oncoc4 Inc; Oncoimmune-Guangzhou	0		
DRG0JMXQX	HDM2012	Phase1	Phase 1						Anti-Muc17 antibody	TOP1 inhibitor	A cleavable linker	Gastric cancer		0		NCT07100249
DRG0JNCVK	YL217	Phase1	Phase 1						Anti-CDH17 antibody	YL0010014	VK*G-NHCH2-O linker	Unspecific solid tumor		0		NCT06859762
DRG0JNMAT	SIBP-A17	Phase1	Phase 1						anti-HER2 antibody	DXd	Mc-VASGFG	Gastroesophageal junction adenocarcinoma		0		NCT06512116
DRG0JNXDB	XMT-1592	Phase1	Phase 1 (Terminated)		XMT 1592; XMT1592; XMT-1592		Sodium-dependent phosphate transport protein 2B (SLC34A2)	Microtubule (MT)	Undisclosed	Auristatin F hydroxypropylamide (AF-HPA)	Cys-13 ADC linker	Lung cancer; Phase 1 Clinical Trial Ovarian cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio 6 3D	Mersana Therapeutics, Inc	1		NCT04396340
DRG0JNZLF	PCA-062	Phase1	Phase 1 (Terminated)		NOV-10; PCA 062; PCA-062; PCA-pCAD; PCA06 2, NOV-10; PCA062		Cadherin-3 (CDH3)	Microtubule (MT)	CQY684	Mertansine DM1	Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC)	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.8 3D	MorphoSys AG; Novartis AG	1		NCT02375958
DRG0JOHND	Gemtuzumab ozogamicin	Approved	Approved (FDA): Mar, 2000	Mylotarg	CDP-771; CL-555201; CMA-676; WAY-CMA-676; Anti-CD33-monoclonal-antibody-calicheamicin; Anti-CD33-monoclonal-antibody-p67-6-calicheamicin-conjugate; HP67-6-N-acetyl-gamma-dimethyl-acbut; hP67.6-calicheamicin; Human-anti-CD33-monoclonal-antibody-P67-6-calicheamicin-conjugate		Myeloid cell surface antigen CD33 (CD33)	Human Deoxyribonucleic acid (hDNA)	Gemtuzumab	N-acetyl-gamma-calicheamicin	AcButDMH	Acute myeloid leukaemia; Approved Approval Document Acute lymphoblastic leukemia; Phase 3 Clinical Trial Chronic myeloid leukemia; Phase 3 Clinical Trial Myelodysplastic syndrome; Phase 3 Clinical Trial Drug-to-Antibody Ratio 2 to 3 3D	Pfizer Inc; Wyeth Pharmaceuticals LLC	3	10.1002/ajh.25057.; 10.1016/S2352-3026(23	NCT00893399; NCT00909168
DRG0JOMGD	NC18	Phase1	Phase 1						Trastuzumab	AF-HEA	PHF polymer linker	Unspecific solid tumor		0		
DRG0JPJDT	RN927C	Investigative	Investigative		RN-927C; RN 927C		Tumor-associated calcium signal transducer 2 (TROP2)	Microtubule (MT)	Humanized Anti-Trop-2 hIgG1 Anti-ody	Auristatin 0101	AcLys-Val-Cit-PABC	Pancreatic cancer Clinical candidate Drug-to-Antibody Ratio 2 3D	Rinat Neuroscience Corp	0		
DRG0JQAJB	MGTA-117	Phase1	Phase 1 (Terminated)		Anti-CD117 amanitin ADC; Anti-CD117 amanitin antibody drug conjugate; CD117-amanitin antibody drug conjugate; MGTA 117; MGTA-117; anti-CD117 (c-KIT)-amanitin antibody-drug conjugate; CD117-ADC		Mast/stem cell growth factor receptor Kit (KIT)	DNA-directed RNA polymerase II subunit RPB2 (POLR2B); DNA-directed RNA polymerase III subunit RPC7 (POLR3G)	Opelkibart	Alpha-amanitin	Undisclosed Conjugate Type Undisclosed Combination Type elmanitin	Acute myeloid leukaemia; Phase 1 Clinical Trial Myelodysplastic syndrome; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	Heidelberg Pharma AG	0		
